,genres
174,"['comedy', 'music', 'documentation']"
175,"['comedy', 'documentation']"
176,"['drama', 'romance']"
177,['drama']
178,"['drama', 'romance']"
179,"['thriller', 'action', 'drama', 'romance']"
180,['comedy']
181,"['comedy', 'documentation']"
182,"['drama', 'crime']"
183,"['romance', 'family', 'fantasy', 'drama']"
184,"['drama', 'history', 'comedy', 'romance']"
185,['drama']
186,"['comedy', 'drama', 'action', 'romance']"
187,"['comedy', 'drama', 'romance']"
188,"['comedy', 'documentation']"
189,"['comedy', 'romance', 'drama']"
190,"['comedy', 'action', 'crime', 'thriller']"
191,"['drama', 'comedy']"
192,"['romance', 'crime', 'thriller', 'drama']"
193,"['drama', 'sport']"
194,"['comedy', 'romance', 'drama']"
195,"['documentation', 'history']"
196,['comedy']
197,"['comedy', 'documentation']"
198,['comedy']
199,"['romance', 'drama', 'comedy', 'war', 'european']"
200,"['drama', 'action', 'crime']"
201,"['drama', 'war', 'crime', 'european']"
202,"['drama', 'action', 'crime', 'thriller']"
203,"['comedy', 'documentation']"
204,"['comedy', 'documentation']"
205,"['romance', 'action', 'crime', 'drama', 'thriller']"
206,"['comedy', 'documentation']"
207,"['romance', 'european', 'drama']"
208,"['action', 'drama']"
209,['drama']
210,"['comedy', 'romance', 'fantasy', 'action']"
211,"['romance', 'action', 'drama']"
212,[]
213,"['drama', 'thriller', 'crime']"
214,['drama']
215,"['drama', 'action']"
216,"['drama', 'crime', 'thriller']"
217,"['comedy', 'reality', 'european', 'music']"
218,"['action', 'drama', 'scifi', 'horror', 'thriller']"
219,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']"
220,"['horror', 'scifi', 'thriller']"
221,['comedy']
222,"['reality', 'european']"
223,"['comedy', 'sport']"
224,"['drama', 'european']"
225,['comedy']
226,"['drama', 'crime']"
227,"['drama', 'romance']"
228,['comedy']
229,"['drama', 'family']"
230,"['crime', 'documentation', 'drama']"
231,"['comedy', 'european']"
232,"['crime', 'action', 'thriller', 'drama', 'comedy']"
233,"['scifi', 'animation', 'action', 'family', 'fantasy']"
234,['comedy']
235,"['drama', 'sport']"
236,"['comedy', 'european']"
237,"['action', 'scifi', 'music', 'thriller']"
238,"['action', 'animation', 'family', 'scifi', 'comedy']"
239,"['drama', 'thriller', 'crime', 'action']"
240,"['drama', 'comedy', 'family', 'romance']"
241,"['horror', 'thriller']"
242,"['action', 'thriller', 'scifi']"
243,"['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']"
244,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']"
245,"['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']"
246,"['action', 'thriller', 'crime', 'fantasy']"
247,"['action', 'thriller', 'european']"
248,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']"
249,"['action', 'thriller', 'scifi']"
250,"['comedy', 'music']"
251,"['drama', 'comedy', 'romance']"
252,"['thriller', 'drama', 'crime']"
253,"['thriller', 'documentation', 'drama', 'crime']"
254,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']"
255,"['action', 'fantasy', 'drama', 'romance']"
256,"['thriller', 'drama', 'war']"
257,"['action', 'history', 'war', 'drama', 'european']"
258,"['crime', 'thriller', 'action']"
259,"['comedy', 'crime']"
260,"['drama', 'comedy', 'romance']"
261,['reality']
262,"['comedy', 'thriller', 'action']"
263,"['thriller', 'action']"
264,"['drama', 'sport']"
265,"['drama', 'war', 'horror', 'thriller']"
266,['thriller']
267,"['scifi', 'thriller', 'action', 'drama']"
268,"['comedy', 'scifi', 'animation', 'family', 'fantasy']"
269,"['comedy', 'drama', 'european']"
270,"['comedy', 'romance', 'drama']"
271,"['family', 'comedy']"
272,['drama']
273,"['action', 'crime', 'drama', 'history', 'european']"
274,['comedy']
275,"['crime', 'drama']"
276,"['fantasy', 'action', 'crime', 'drama']"
277,"['comedy', 'family', 'romance']"
278,"['drama', 'european']"
279,"['crime', 'drama', 'thriller', 'european']"
280,"['action', 'thriller', 'war', 'european']"
281,"['drama', 'comedy', 'romance']"
282,['comedy']
283,"['horror', 'thriller', 'fantasy']"
284,"['action', 'drama', 'scifi', 'fantasy', 'european']"
285,"['action', 'animation', 'comedy', 'drama', 'family', 'scifi']"
286,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']"
287,['reality']
288,"['drama', 'comedy']"
289,['horror']
290,"['scifi', 'action', 'animation', 'drama', 'war', 'thriller']"
291,"['comedy', 'documentation', 'action']"
292,"['comedy', 'sport', 'european']"
293,"['drama', 'thriller', 'fantasy', 'romance', 'documentation']"
294,"['crime', 'drama', 'horror', 'thriller']"
295,"['scifi', 'action', 'thriller', 'drama', 'european']"
296,"['drama', 'thriller', 'action']"
297,"['romance', 'drama', 'comedy', 'fantasy']"
298,"['drama', 'fantasy', 'comedy', 'history', 'action']"
299,"['crime', 'drama', 'history', 'thriller']"
300,"['horror', 'thriller']"
301,"['action', 'scifi', 'animation', 'comedy', 'drama']"
302,"['drama', 'horror', 'thriller', 'fantasy', 'european']"
303,"['scifi', 'reality', 'thriller', 'comedy', 'drama', 'horror', 'european']"
304,"['horror', 'thriller', 'crime', 'drama']"
305,"['animation', 'action', 'comedy', 'family', 'fantasy', 'thriller', 'european']"
306,"['action', 'comedy', 'crime']"
307,"['drama', 'comedy', 'european']"
308,"['action', 'animation', 'comedy', 'family']"
309,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']"
310,"['comedy', 'horror']"
311,"['comedy', 'romance']"
312,"['comedy', 'drama', 'romance']"
313,"['family', 'comedy', 'european']"
314,"['thriller', 'crime', 'european']"
315,"['drama', 'thriller', 'crime']"
316,"['drama', 'comedy']"
317,"['thriller', 'action', 'scifi']"
318,"['scifi', 'drama', 'family', 'fantasy']"
319,"['horror', 'crime']"
320,"['comedy', 'european']"
321,"['family', 'fantasy', 'comedy', 'action']"
322,"['war', 'action', 'drama', 'thriller']"
323,"['comedy', 'drama']"
324,"['scifi', 'animation', 'drama', 'thriller', 'comedy', 'fantasy', 'action', 'horror', 'crime']"
325,"['drama', 'sport']"
326,"['thriller', 'sport', 'action', 'crime', 'drama']"
327,"['horror', 'action']"
328,"['action', 'fantasy', 'family']"
329,"['drama', 'scifi', 'thriller']"
330,"['comedy', 'war']"
331,"['animation', 'family']"
332,"['animation', 'comedy', 'family', 'european']"
333,"['thriller', 'crime']"
334,"['animation', 'comedy', 'drama', 'romance']"
335,"['family', 'comedy']"
336,"['animation', 'comedy', 'family', 'fantasy']"
337,"['comedy', 'romance']"
338,"['action', 'drama', 'fantasy', 'history', 'thriller']"
339,"['crime', 'action', 'comedy', 'thriller']"
340,"['horror', 'thriller', 'action', 'scifi', 'european']"
341,"['comedy', 'crime']"
342,"['comedy', 'crime', 'family', 'romance']"
343,"['romance', 'comedy', 'drama']"
344,"['comedy', 'documentation']"
345,"['drama', 'romance', 'comedy']"
346,"['drama', 'comedy']"
347,"['romance', 'drama', 'action', 'sport']"
348,"['animation', 'family', 'comedy', 'european']"
349,"['war', 'reality', 'animation', 'action', 'comedy', 'drama', 'family']"
350,['comedy']
351,"['documentation', 'music']"
352,"['comedy', 'drama', 'romance']"
353,"['drama', 'action', 'history', 'sport']"
354,"['comedy', 'romance', 'drama']"
355,"['comedy', 'drama']"
356,"['family', 'drama', 'sport', 'fantasy']"
357,"['documentation', 'comedy']"
358,"['thriller', 'drama', 'fantasy']"
359,"['romance', 'comedy']"
360,['western']
361,"['thriller', 'horror', 'documentation']"
