,genres
181,"['drama', 'family', 'sport']"
182,"['documentation', 'war', 'history']"
183,"['thriller', 'crime', 'drama']"
184,"['romance', 'drama', 'history', 'action', 'comedy', 'european']"
185,"['drama', 'crime']"
186,['western']
187,"['western', 'romance', 'action']"
188,"['drama', 'romance']"
189,"['documentation', 'war', 'drama']"
190,"['drama', 'action', 'western', 'crime']"
191,"['war', 'documentation', 'history']"
192,"['western', 'action', 'music', 'comedy']"
193,"['documentation', 'history', 'war']"
194,"['comedy', 'romance']"
195,['western']
196,"['drama', 'family', 'fantasy']"
197,['drama']
198,"['thriller', 'crime', 'drama', 'horror']"
199,"['comedy', 'romance']"
200,"['comedy', 'romance']"
201,"['drama', 'war']"
202,"['drama', 'romance']"
203,"['drama', 'western', 'war', 'music', 'romance']"
204,['drama']
205,"['fantasy', 'action']"
206,['drama']
207,"['western', 'music', 'romance', 'comedy', 'action']"
208,"['drama', 'romance', 'crime']"
209,"['western', 'comedy', 'music']"
210,['western']
211,"['fantasy', 'comedy', 'romance']"
212,"['action', 'comedy', 'romance']"
213,['comedy']
214,"['drama', 'crime']"
215,"['drama', 'romance', 'comedy', 'war']"
216,"['comedy', 'western', 'family', 'music', 'romance', 'action']"
217,['western']
218,"['western', 'action', 'drama', 'romance']"
219,"['horror', 'scifi', 'thriller']"
220,"['thriller', 'crime', 'romance', 'action', 'sport']"
221,"['comedy', 'family', 'sport', 'romance']"
222,"['thriller', 'horror']"
223,"['thriller', 'comedy', 'crime', 'drama', 'history', 'romance']"
224,"['drama', 'family']"
225,"['action', 'crime', 'family']"
226,"['western', 'drama', 'music', 'action']"
227,"['comedy', 'drama']"
228,"['fantasy', 'comedy', 'family']"
229,"['horror', 'comedy', 'thriller']"
230,"['romance', 'thriller', 'drama']"
231,"['documentation', 'music']"
232,"['drama', 'romance', 'thriller', 'war']"
233,"['comedy', 'music', 'drama']"
234,"['drama', 'music', 'action']"
235,"['western', 'action', 'romance', 'drama']"
236,"['action', 'scifi']"
237,['comedy']
238,"['comedy', 'music', 'war']"
239,"['drama', 'crime']"
240,['drama']
241,"['horror', 'thriller', 'drama', 'romance']"
242,"['comedy', 'war', 'family']"
243,"['drama', 'romance', 'comedy']"
244,"['comedy', 'crime']"
245,"['action', 'comedy', 'family', 'romance']"
246,['western']
247,"['western', 'action']"
248,"['drama', 'romance', 'war']"
249,"['comedy', 'action']"
250,"['western', 'action', 'romance']"
251,"['western', 'romance', 'action']"
252,"['crime', 'drama', 'thriller']"
253,['drama']
254,"['western', 'crime', 'romance', 'action']"
255,"['crime', 'comedy', 'horror']"
256,"['crime', 'drama']"
257,"['comedy', 'romance']"
258,['drama']
259,"['comedy', 'romance', 'family']"
260,"['drama', 'music', 'romance']"
261,['drama']
262,"['horror', 'thriller']"
263,"['romance', 'drama', 'crime']"
264,"['western', 'action', 'romance']"
265,"['thriller', 'drama', 'romance']"
266,"['western', 'drama', 'action']"
267,"['romance', 'comedy']"
268,"['horror', 'action', 'comedy']"
269,"['comedy', 'romance']"
270,"['documentation', 'war', 'history']"
271,['drama']
272,"['thriller', 'crime', 'drama']"
273,"['comedy', 'thriller']"
274,"['comedy', 'romance']"
275,['western']
276,"['western', 'action', 'drama', 'music']"
277,['western']
278,['action']
279,['western']
280,"['western', 'drama', 'romance', 'action']"
281,"['family', 'fantasy']"
282,"['drama', 'crime']"
283,"['drama', 'comedy', 'romance']"
284,"['romance', 'comedy', 'drama', 'western']"
285,"['drama', 'war', 'action']"
286,['western']
287,['comedy']
288,"['drama', 'comedy', 'romance']"
289,"['western', 'sport', 'action', 'music', 'romance']"
290,['thriller']
291,"['romance', 'action', 'comedy', 'family']"
292,['comedy']
293,"['thriller', 'drama', 'horror']"
294,['romance']
295,"['comedy', 'action', 'fantasy']"
296,"['western', 'action']"
297,"['drama', 'romance']"
